KnowledgeBase;QuerySet;Algorithm;AverageTime(ms);CacheHitCounter
kbsets\500statements.txt;querysets\halfrepeated_ante_query_100.txt;NaiveEntailment;124305;0
kbsets\500statements.txt;querysets\halfrepeated_ante_query_100.txt;BinaryEntailment;14003;0
kbsets\500statements.txt;querysets\halfrepeated_ante_query_100.txt;TernaryEntailment;22869;0
kbsets\500statements.txt;querysets\halfrepeated_ante_query_100.txt;NCachedEntailment;42789;56
kbsets\500statements.txt;querysets\halfrepeated_ante_query_100.txt;BCachedEntailment;3413;56
kbsets\500statements.txt;querysets\halfrepeated_ante_query_100.txt;TCachedEntailment;9061;56
