KnowledgeBase,QuerySet,Algorithm,AverageTime(ms),CacheHitCounter
kbsets\exp10.txt,querysets\mixed_repeated_100.txt,NaiveEntailment,36840,0
kbsets\exp10.txt,querysets\mixed_repeated_100.txt,BinaryEntailment,11775,0
kbsets\exp10.txt,querysets\mixed_repeated_100.txt,TernaryEntailment,26096,0
kbsets\exp10.txt,querysets\mixed_repeated_100.txt,NCachedEntailment,20246,50
kbsets\exp10.txt,querysets\mixed_repeated_100.txt,BCachedEntailment,5393,50
kbsets\exp10.txt,querysets\mixed_repeated_100.txt,TCachedEntailment,13117,50
