KnowledgeBase,QuerySet,Algorithm,AverageTime(ms),CacheHitCounter
kbsets\normal10.txt,querysets\halfrepeated_ante_query_100.txt,NaiveEntailment,49343,0
kbsets\normal10.txt,querysets\halfrepeated_ante_query_100.txt,BinaryEntailment,14233,0
kbsets\normal10.txt,querysets\halfrepeated_ante_query_100.txt,TernaryEntailment,34085,0
kbsets\normal10.txt,querysets\halfrepeated_ante_query_100.txt,NCachedEntailment,16199,56
kbsets\normal10.txt,querysets\halfrepeated_ante_query_100.txt,BCachedEntailment,8266,32
kbsets\normal10.txt,querysets\halfrepeated_ante_query_100.txt,TCachedEntailment,11633,56
