KnowledgeBase;QuerySet;Algorithm;AverageTime(ms);CacheHitCounter
kbsets\1k50.txt;querysets\halfrepeated_ante_query_100.txt;NaiveEntailment;120124;0
kbsets\1k50.txt;querysets\halfrepeated_ante_query_100.txt;BinaryEntailment;22442;0
kbsets\1k50.txt;querysets\halfrepeated_ante_query_100.txt;TernaryEntailment;35248;0
kbsets\1k50.txt;querysets\halfrepeated_ante_query_100.txt;NCachedEntailment;64539;56
kbsets\1k50.txt;querysets\halfrepeated_ante_query_100.txt;BCachedEntailment;6214;56
kbsets\1k50.txt;querysets\halfrepeated_ante_query_100.txt;TCachedEntailment;14016;56
