The number of ranks to check is: 11;;
The number of queries to check is: 40;;
query, ternary ;;
(3=>2);247;
(3=>!0);647;
(4=>2);421;
(4=>!0);228;
(5=>4);87;
(5=>0);107;
(6=>4);175;
(6=>0);164;
(7=>6);114;
(7=>!0);198;
(8=>6);198;
(8=>!0);197;
(9=>8);168;
(9=>0);147;
(10=>8);109;
(10=>0);94;
(11=>10);400;
(11=>!0);278;
(12=>10);272;
(12=>!0);137;
(13=>12);108;
(13=>0);138;
(14=>12);124;
(14=>0);172;
(15=>14);176;
(15=>!0);360;
(16=>14);325;
(16=>!0);417;
(17=>16);202;
(17=>0);169;
(18=>16);203;
(18=>0);104;
(19=>18);85;
(19=>!0);82;
(20=>18);77;
(20=>!0);102;
(1=>0);205;
(2=>0);213;
(1=>0);335;
(2=>0);263;
;8248;206,2
